story_id,keyword_id,keyword
13813,11678,zeigt sich
8998,32,Hexe
1564,45,Lokalsage
16131,599,Ewig Leben: I
19100,437,"Taters, krup unner"
13953,223,Viting
15311,8,"Sage, historische"
4216,1065,unschuldig
9756,823,Wilde Jagd
15517,53,robbers
14168,29,witches
15818,288,werfen Steine
8801,16,sacrilege
13025,106,Besen
14431,7361,Schlacht etc.
16672,32,Hexe
6592,6594,anzeigen
18059,429,"Krieg, siebenjähriger"
945,130,Franzose
17617,290,giants
6828,823,Wilde Jagd
6798,41,local legends
9857,1558,Gen.
11791,11795,Gewehr
11681,2314,Werber
2953,91,dead
15750,53,robbers
7027,7029,Mütze
5827,600,ewig
4166,2512,Names I
16896,16,sacrilege
18884,41,local legends
19420,599,Ewig Leben: I
9998,825,wild hunt
8791,870,"Tote red., erste Frau, Mutter"
16240,4435,Riemen
8280,466,Kirchliches
10967,2476,einmauern
8127,415,water
11145,354,Berg
11502,93,Toter
4327,4,historical legends
9492,480,Haberlandt
4333,986,"30-/100-year war, blending"
16559,16,sacrilege
12262,45,Lokalsage
19914,2191,Pale girl
9057,9060,under stone
11711,2276,Ghost
2877,398,goldene Wiege
2039,882,Mann
12328,12329,?
14492,52,Räuber
8220,2276,Ghost
10800,5115,Nixe
17560,4,historical legends
9253,9256,Brombeerranke
18698,2756,Tochter
19023,52,Räuber
7033,1334,nachts
15549,16,sacrilege
14168,117,quid
2780,2781,Eulenspiegel
10364,4,historical legends
19078,91,dead
19682,8,"Sage, historische"
5921,29,witches
14587,560,Zwergensage
15814,2364,Schürze platzt
5143,32,Hexe
3562,233,"Tiersagen, Märchen I"
16758,91,dead
16695,29,witches
11491,5667,Kröte
9121,16,sacrilege
5941,1065,unschuldig
18331,45,Lokalsage
3323,91,dead
9415,16,sacrilege
5509,869,Mutter
439,443,Towns
11415,8247,Trogg
8837,257,Kette
19198,533,to fight
4572,732,Mecklenburg
12768,394,haunting animals
1599,289,Stein
3481,1705,hart
645,560,Zwergensage
3571,1312,Gutsherr
10912,16,sacrilege
484,16,sacrilege
17919,16,sacrilege
19874,111,from the french period
11331,140,When
11713,1775,not to fear
9934,16,sacrilege
9786,2278,Geister
13597,1265,Herr
7016,7019,Auge
5686,963,"Buttern, Lappen etc."
9194,4286,zusammentragen
6516,246,Halskette
13424,232,Tiermärchen
10441,2992,Hingerichteter
6034,30,on cattle
13930,190,Pfannkuchen
5720,29,witches
7774,16,sacrilege
16148,16149,Wunde
1531,626,Ewiger Jude
19044,2191,Pale girl
3240,2605,"Körperteile, Rippe etc."
1183,826,weiblich
16095,440,destruction
1416,929,Buttern
16549,290,giants
15821,583,Scherbe
14971,91,dead
14542,256,Ring
10961,1323,Berg nicht fortschaffen
8804,91,dead
18435,20,Man who move the boundaries
16051,91,dead
6027,71,Hufeisen
13507,443,Towns
2321,784,wissen
11164,2375,Scheintoter
14642,6430,Blocksberg Orte
6976,16,sacrilege
5300,4,historical legends
9747,929,Buttern
2541,290,giants
3718,360,Frau
2694,16,sacrilege
10312,55,Störtebecker - Gödeke Michel
5136,63,Blocksberg
8154,91,dead
17912,332,bells
14032,63,Blocksberg
4048,16,sacrilege
10289,117,quid
12119,354,Berg
2317,289,Stein
12995,4,historical legends
1541,1546,Hof
5594,31,Vieh
7273,3280,Laus
1366,963,"Buttern, Lappen etc."
10690,72,local legends: varia
17680,4,historical legends
19610,4122,entstehen
6916,6929,Zauberer
12492,11333,"Mai, erster"
